
gasto,181.00,2025-04-12T05:55:35.701Z
gasto,7.00,2025-04-12T05:55:38.517Z
gasto,12.00,2025-04-12T05:55:41.372Z
gasto,7.00,2025-04-12T05:55:44.964Z
gasto,350.00,2025-04-12T05:55:48.252Z
gasto,610.00,2025-04-12T05:55:51.148Z
gasto,24.40,2025-04-12T05:56:00.300Z
gasto,2.93,2025-04-12T05:56:04.171Z
gasto,238.56,2025-04-12T05:56:09.364Z
gasto,37.45,2025-04-12T05:56:15.788Z
gasto,239.30,2025-04-12T05:56:21.412Z
gasto,148.33,2025-04-12T05:56:27.156Z
pago,179.62,2025-04-12T05:56:51.436Z
pago,188.39,2025-04-12T05:56:56.196Z
pago,600.00,2025-04-12T05:57:00.220Z
pago,15.00,2025-04-12T05:57:03.716Z
gasto,115.00,2025-04-12T05:57:08.292Z
gasto,150.00,2025-04-12T05:57:11.100Z
gasto,7.00,2025-04-12T05:57:15.716Z
pago,859.96,2025-04-12T05:57:20.732Z
pago,40.00,2025-04-12T05:57:23.587Z
pago,150.00,2025-04-12T05:57:26.132Z
gasto,0.24,2025-04-12T05:57:32.780Z
gasto,0.03,2025-04-12T05:57:35.228Z
gasto,6.00,2025-04-12T05:57:37.724Z
gasto,238.55,2025-04-12T06:12:28.019Z
gasto,37.45,2025-04-12T06:12:34.890Z
gasto,239.30,2025-04-12T06:12:43.018Z
gasto,148.33,2025-04-12T06:12:48.602Z
gasto,35.00,2025-04-15T04:40:59.223Z
